date,open,high,low,close,volume
2021-02-02,378.0,388.88,375.682,387.25,1569413.0
2021-02-01,364.0,372.09,356.0,371.55,1110793.0
2021-01-29,360.5,362.5289,347.77,359.43,1848727.0
2021-01-28,345.0,366.93,341.92,360.91,2193619.0
2021-01-27,341.04,352.44,329.13,337.77,2378957.0
2021-01-26,381.3,381.3,354.45,355.15,2706597.0
2021-01-25,398.95,404.27,373.34,380.0,2340600.0
2021-01-22,389.06,392.81,387.68,392.01,1166158.0
2021-01-21,392.51,394.48,383.0,389.0,1064476.0
2021-01-20,388.69,394.36,383.66,392.97,1142413.0
2021-01-19,388.5,390.0,377.62,382.25,1882638.0
2021-01-15,385.0,398.2858,383.3735,388.65,1791592.0
2021-01-14,373.33,386.7499,371.225,385.1,1817137.0
2021-01-13,376.0,381.955,367.99,369.0,1486075.0
2021-01-12,363.0,375.74,362.255,375.15,1252682.0
2021-01-11,359.6,367.68,356.0,362.01,1261723.0
2021-01-08,362.34,373.005,355.79,360.27,2136182.0
2021-01-07,339.88,357.5,337.315,357.15,2057891.0
2021-01-06,329.09,337.93,326.11,329.01,1837625.0
2021-01-05,330.43,341.79,329.0,341.24,1375448.0
2021-01-04,339.0,340.5956,326.26,334.59,1968892.0
2020-12-31,351.7,352.02,335.96,338.5,1541752.0
2020-12-30,352.34,354.99,347.38,349.56,1113349.0
2020-12-29,360.0,361.46,346.74,350.5,2341313.0
2020-12-28,367.31,368.288,346.0,355.66,2002186.0
2020-12-24,365.15,371.36,361.4,362.88,681112.0
2020-12-23,371.0,373.5,358.09,363.28,1197098.0
2020-12-22,369.46,374.49,360.89,370.75,2500359.0
2020-12-21,361.21,369.37,357.45,364.82,2105422.0
2020-12-18,369.32,369.39,359.44,365.03,2418781.0
2020-12-17,356.5,365.0,353.21,361.07,2449181.0
2020-12-16,346.2,352.75,340.72,350.88,2115543.0
2020-12-15,349.75,356.87,342.1301,345.1,2370236.0
2020-12-14,344.6,358.18,344.1,350.09,2835142.0
2020-12-11,333.15,346.0001,330.25,342.41,3157097.0
2020-12-10,310.26,338.61,307.9279,334.51,3661546.0
2020-12-09,319.23,321.945,305.611,312.54,2779367.0
2020-12-08,311.0,326.24,308.59,320.8,2261263.0
2020-12-07,315.91,316.0315,308.26,309.29,2320509.0
2020-12-04,319.22,323.3173,314.1,319.49,1413410.0
